;parent;name;inner.name
0;Britain should adopt Sharia law;Which countries apply sharia law?;How many wives can you have in Dubai?
1;Britain should adopt Sharia law;Which countries apply sharia law?;Does Afghanistan have Sharia law?
2;Britain should adopt Sharia law;What is Omar's law?;What was the purpose of the Pact of Umar?
3;Britain should adopt Sharia law;What are the Sharia laws in Islam?;Is sharia law in Quran?
4;Britain should adopt Sharia law;What are the Sharia laws in Islam?;What is Sharia law on marriage?
5;Britain should adopt Sharia law;What are the Sharia laws in Islam?;Is it safe to go to Petra?
