;parent;name;inner.name
0;All nations should ban bullfighting;Will bullfighting ever be banned?;What is the most popular sport in Spain?
1;All nations should ban bullfighting;Will bullfighting ever be banned?;What is Vox party in Spain?
2;All nations should ban bullfighting;How many matadors have died?;How did Victor Barrio die?
3;All nations should ban bullfighting;How many matadors have died?;What breed of bull is used in bullfighting?
4;All nations should ban bullfighting;How many matadors have died?;What are bullfighters called?
5;All nations should ban bullfighting;What happens to the bull after the fight?;Why are rodeo bulls so angry?
6;All nations should ban bullfighting;What happens to the bull after the fight?;How many bulls are released in Running of the Bulls?
7;All nations should ban bullfighting;What happens to the bull after the fight?;What is a Picador in bullfighting?
8;All nations should ban bullfighting;Are bulls killed in bullfights?;Are Bulls always aggressive?
